name,latitude,longitude,source,category,specialties,emergency,total_beds,contact
Nehru Hospital,30.7608716,76.776366,Merged (OSM+National),Public/ Government,,Yes,954,0.0
Superintended Hospital Engineer Building,30.7652264,76.7755769,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,48,0.0
Ivy Health and Life Sciences Pvt. Ltd,30.7066283,76.7083186,Merged (OSM+National),Public/ Government,,Yes,325,0.0
GMCH SECTOR 32,30.7091114,76.7806946,Merged (OSM+National),Private,,No,209,0.0
GMSH Sector-16,30.7508141,76.7809469,Merged (OSM+National),Private,,Yes,90,0.0
Civil Hospital Panchkula,30.7048486,76.8556829,Merged (OSM+National),Public/ Government,,Yes,550,0.0
Command Hospital,30.7131303,76.8539277,Merged (OSM+National),0,0,No,77,0.0
"Alchemist Hospital, Panchkula",30.6745437,76.864769,Merged (OSM+National),Private,"Cardiology and Cardiac Surgery\nNeurology and Neurosurgery\nGastroenterology and GI surgery\nNephrology and Urology\nDiabetes and Endocrinology\nPlastic Surgery and Dermatology\nInternal medicine\nObstetricsand Gynaecology\nPediatrics\nEar, Nose, and Throat (ENT)\nAnesthesiology\n",No,55,0.0
Cancer Hospital,30.7633931,76.7810046,Merged (OSM+National),Public/ Government,,Yes,1054,0.0
New OPD,30.7628956,76.7808619,OSM-Only,,,No,46,
PGI Emergency,30.7611013,76.7762212,OSM-Only,,,Yes,193,
Oscar Medical Center,30.6711057,76.8866364,Merged (OSM+National),Public/ Government,,Yes,1058,0.0
"KD Cosmetic Surgery Centre,Sector 34-A",30.7245237,76.7689883,Merged (OSM+National),Private,,Yes,248,0.0
Ojas Hospital,30.6609913,76.8822538,Merged (OSM+National),Public/ Government,,Yes,858,0.0
Government Poly Clinic,30.6614893,76.8824307,Merged (OSM+National),Public/ Government,,Yes,389,0.0
Om Hospital,30.6568319,76.8837957,Merged (OSM+National),0,0,No,171,0.0
Paras Hospital,30.6932939,76.8832473,Merged (OSM+National),Public/ Government,,Yes,732,0.0
RHTC Palsora,30.7347446,76.7178481,OSM-Only,,,No,28,
Bright Kidney Care Hospital,30.6577464,76.8769937,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,27,0.0
Prolife Hospital,30.683561,76.8658817,Merged (OSM+National),Public/ Government,,Yes,395,0.0
Mental Health Institute,30.7042635,76.7751486,Merged (OSM+National),Public/ Government,,Yes,523,0.0
Mother Teresa Saket Orthopaedic Hospital,30.7011929,76.8670654,Merged (OSM+National),Private,Obstetrics and Gynaecology,Yes,79,0.0
PGI Chandigarh,30.7614305,76.7749653,Merged (OSM+National),0,0,Yes,149,0.0
Dispesary,30.6775899,76.798432,OSM-Only,,,No,174,
Santokh Hospital,30.7478631,76.7489881,Merged (OSM+National),Public/ Government,,Yes,327,0.0
Dharam Hospital,30.7491743,76.7740258,Merged (OSM+National),0,0,No,163,0.0
Bharat Vikas Parishad Charitable Medical Centre,30.747535,76.765978,Merged (OSM+National),Private,,No,70,0.0
Land Mark Hospital(Langol View Charitable Clinic and Maternity Home),30.7122719,76.7702748,Merged (OSM+National),0,0,No,203,0.0
Advance Eye Center,30.7639495,76.7800519,Merged (OSM+National),0,0,Yes,186,0.0
bodysculpt,30.7034681,76.7100817,OSM-Only,,,No,199,
Government Pet Hospital,30.7329698,76.7714736,Merged (OSM+National),Public/ Government,,Yes,858,0.0
Ivy Health and Life Sciences Private Limited,30.7067472,76.7083199,Merged (OSM+National),0,0,No,127,0.0
Rameshwara Hospital,30.7583074,76.7843183,Merged (OSM+National),0,0,No,76,0.0
Oxford Heart and Multispeciality Hospital,30.7287476,76.7898551,Merged (OSM+National),0,0,No,134,0.0
Mukat Hospital and Heart Institute,30.7228358,76.7703393,Merged (OSM+National),0,0,No,170,0.0
Nins Brain and Spine Hospital,30.7218259,76.7669463,Merged (OSM+National),0,0,No,91,0.0
Ashwini Maternity Hospital,30.719376,76.7578912,Merged (OSM+National),Public/ Government,,Yes,1128,0.0
Inscol Tertiary Care Hospital,30.723938,76.7656857,Merged (OSM+National),0,0,No,242,0.0
Deep Hospital,30.7635999,76.7483211,Merged (OSM+National),0,0,No,21,0.0
Civil Hospital-Sector 22,30.7324319,76.7716616,Merged (OSM+National),Public/ Government,,No,1077,0.0
Chaitanya Hospital,30.7107483,76.7541911,Merged (OSM+National),Private,Obstetrics and Gynaecology,No,226,0.0
Grewal Eye Institute,30.7420224,76.7909159,Merged (OSM+National),0,0,No,60,0.0
"Civil hospital, Manimajra",30.7128525,76.8424183,Merged (OSM+National),0,0,No,198,0.0
Abhilasha Hospital,30.7279522,76.7594992,Merged (OSM+National),0,0,No,128,0.0
Arya Hospital,30.7174644,76.832989,Merged (OSM+National),0,0,No,107,0.0
Dr. Mrs. Chander Hospital,30.5832863,76.8431036,Merged (OSM+National),0,0,Yes,91,0.0
Dabur Dhanwantry Hospital,30.6999404,76.7671408,Merged (OSM+National),0,0,Yes,59,0.0
Silver Oaks Hospitals,30.692086,76.733003,Merged (OSM+National),Private,"Medicine,\nGeneral Surgery, Orthopedic,\nGynaecology Gynaecology and Obstetrics,,\nPediatrics,\nENT,\nGastroentology and Hepatology,\nEye,\nPsychiatry,\nDermatology,\nAnaesthesia,\nPsychology, radiology,\nUrology,\nNephrology,\nNeurology,\nChest Physician,\nDietician,\nRheumatology,\nDental,\nPlastic Surgery,\nGastro Intestinal  Surgery,\nNeuro-Surgery,\nPaediatric Surgery,\nRadiology,\nPhysiotherapy,\nEndocrinology,\nPathology,\nOncology,\nRenal Transplant  Surgery,\nTrauma Center,\nGeneral and Laproscopic  Surgery\nCardio Thoracic Surgery\nOro-Maxillary Surgeon\n",No,75,0.0
Arthoscopy and Spinal Endoscopy Centre,30.716308,76.7777958,Merged (OSM+National),0,0,No,215,0.0
Virdi Eye Hospital(Virk Hospital),30.7198176,76.7686281,Merged (OSM+National),0,0,No,106,0.0
Mangnum Hospital,30.7237708,76.7604969,Merged (OSM+National),0,0,No,46,0.0
Grover Eye Laser and E.N.T Hospital,30.7301782,76.7603199,Merged (OSM+National),0,0,No,43,0.0
Bedi Hospital,30.7176996,76.7693818,Merged (OSM+National),Public/ Government,,Yes,689,0.0
"Gupta Eye Hospital, Chandigarh",30.6727602,76.8536299,Merged (OSM+National),0,0,No,44,0.0
Postgraduate Institute of Medical Education and Research (PGIMER),30.7643681,76.7762778,Merged (OSM+National),Public/ Government,,Yes,667,0.0
Neeraj Eye Hospital,30.734221,76.7525804,Merged (OSM+National),0,0,Yes,236,0.0
Kapoor's Kidney and Urostone Centre Pvt.Ltd.,30.7029628,76.7620003,Merged (OSM+National),0,0,No,108,0.0
Omni Hospital,30.7216968,76.7669718,Merged (OSM+National),0,0,No,174,0.0
Tricity Hospital Pvt. Ltd.,30.7104462,76.8429682,Merged (OSM+National),0,0,No,87,0.0
Shri Ram Hospital,30.689099,76.853355,Merged (OSM+National),Private,"Orthopedic\nMedicine\nCardiology\nNeuro Surgery\nDental\nIntensive Care Unit\nOphthalmology\nGeneral Surgery\nAnesthetist\nPediatrics, Gynaecology and Obstetrics\nEmergency and Trauma Care,\nUrology\nEar, Nose and Throat (ENT)\nNeurology\nRadiology\nPlastic Surgery\nGeneral Medicine",No,226,0.0
Institute Of Reproduction and Child Cares,30.6987397,76.8357741,Merged (OSM+National),0,0,Yes,31,0.0
"Khurana Hospital, Panchkula",30.8154228,76.9178957,Merged (OSM+National),0,0,Yes,206,0.0
Singla Orthopaedic Centre / Ortho Nava Hospital,30.7019895,76.839433,Merged (OSM+National),0,0,No,137,0.0
